PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,SEASON_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1630173,Precious Achiuwa,NYK,2024-25,57,10,1170,164,327,0.502,10,36,0.278,41,69,0.594,101,216,317,55,47,42,45,81,379
1630173,Precious Achiuwa,SAC,2025-26,45,30,921,136,272,0.5,16,53,0.302,39,72,0.542,88,163,251,52,34,24,30,72,327
203500,Steven Adams,HOU,2024-25,58,3,794,91,167,0.545,0,2,0.0,43,93,0.462,166,161,327,66,22,28,54,60,225
203500,Steven Adams,HOU,2025-26,32,11,730,70,139,0.504,0,0,0.0,47,81,0.58,145,131,276,48,22,20,35,55,187
1628389,Bam Adebayo,MIA,2024-25,78,78,2674,540,1113,0.485,79,221,0.357,251,328,0.765,185,564,749,337,98,53,161,162,1410
1628389,Bam Adebayo,MIA,2025-26,45,45,1404,289,653,0.443,73,211,0.346,162,205,0.79,93,349,442,122,44,30,80,73,813
1630534,Ochai Agbaji,TOR,2024-25,64,45,1739,266,534,0.498,101,253,0.399,34,48,0.708,61,181,242,98,58,30,54,125,667
1630534,Ochai Agbaji,TOR,2025-26,42,13,650,72,170,0.424,12,65,0.185,25,29,0.862,33,62,95,30,17,11,19,75,181
1630583,Santi Aldama,MEM,2024-25,65,16,1660,313,648,0.483,120,326,0.368,65,94,0.691,94,322,416,188,52,29,71,76,811
1630583,Santi Aldama,MEM,2025-26,43,11,1198,228,476,0.479,70,200,0.35,76,114,0.667,67,220,287,126,37,31,55,69,602
1641725,Trey Alexander,DEN,2024-25,24,0,117,13,41,0.317,3,17,0.176,3,4,0.75,1,11,12,11,2,1,5,10,32
1641725,Trey Alexander,NOP,2025-26,5,0,42,6,9,0.667,2,3,0.667,0,0,0.0,0,4,4,5,1,1,1,4,14
1629638,Nickeil Alexander-Walker,MIN,2024-25,82,10,2073,270,616,0.438,141,370,0.381,92,118,0.78,54,211,265,223,50,34,99,139,773
1629638,Nickeil Alexander-Walker,ATL,2025-26,51,44,1682,354,803,0.441,157,416,0.377,173,197,0.878,30,148,178,181,59,30,100,105,1038
1628960,Grayson Allen,PHX,2024-25,64,7,1544,219,489,0.448,149,350,0.426,93,114,0.816,34,160,194,137,54,19,75,95,680
1628960,Grayson Allen,PHX,2025-26,35,26,1059,197,471,0.418,117,317,0.369,85,101,0.842,25,81,106,140,50,10,59,79,596
1628386,Jarrett Allen,CLE,2024-25,82,82,2296,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,77,73,97,127,1103
1628386,Jarrett Allen,CLE,2025-26,40,40,1081,219,362,0.605,1,9,0.111,117,157,0.745,93,231,324,82,42,35,56,72,556
1630631,Jose Alvarado,NOP,2024-25,56,23,1366,204,521,0.392,111,309,0.359,60,74,0.811,27,109,136,259,74,14,86,91,579
1630631,Jose Alvarado,NOP,2025-26,41,0,896,117,280,0.418,70,193,0.363,20,24,0.833,16,98,114,128,37,4,47,80,324
203937,Kyle Anderson,GSW,2024-25,36,3,541,76,169,0.45,19,52,0.365,18,27,0.667,27,83,110,81,26,20,20,40,189
203937,Kyle Anderson,MIA,2024-25,25,1,461,66,134,0.493,6,18,0.333,30,38,0.789,26,70,96,64,14,13,17,41,168
203937,Kyle Anderson,TOT,2024-25,61,4,1002,142,303,0.469,25,70,0.357,48,65,0.738,53,153,206,145,40,33,37,81,357
203937,Kyle Anderson,UTA,2025-26,20,0,401,57,109,0.523,3,5,0.6,25,38,0.658,19,47,66,61,23,10,17,46,142
203507,Giannis Antetokounmpo,MIL,2024-25,67,67,2289,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,58,78,206,155,2036
203507,Giannis Antetokounmpo,MIL,2025-26,30,30,876,314,487,0.645,15,38,0.395,196,298,0.658,84,217,301,168,27,22,100,78,839
203648,Thanasis Antetokounmpo,MIL,2025-26,17,0,50,8,15,0.533,0,1,0.0,6,11,0.545,6,5,11,1,6,3,3,8,22
1630175,Cole Anthony,ORL,2024-25,67,22,1234,230,543,0.424,77,218,0.353,93,113,0.823,46,158,204,191,45,32,103,151,630
1630175,Cole Anthony,MIL,2025-26,35,0,527,98,231,0.424,22,72,0.306,16,26,0.615,16,71,87,121,20,11,65,73,234
1628384,OG Anunoby,NYK,2024-25,74,74,2706,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,110,65,102,172,1332
1628384,OG Anunoby,NYK,2025-26,41,41,1353,239,499,0.479,85,230,0.37,116,145,0.8,59,166,225,97,71,28,85,102,679
1630166,Deni Avdija,POR,2024-25,72,54,2161,402,844,0.476,125,342,0.365,290,372,0.78,110,412,522,281,71,35,196,171,1219
1630166,Deni Avdija,POR,2025-26,44,44,1523,343,735,0.467,100,281,0.356,335,419,0.8,48,267,315,294,35,27,172,117,1121
1629028,Deandre Ayton,POR,2024-25,40,40,1206,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,31,39,69,88,576
1629028,Deandre Ayton,LAL,2025-26,45,45,1270,275,407,0.676,0,0,0.0,53,79,0.671,114,265,379,41,29,44,62,104,603
1628963,Marvin Bagley III,WAS,2024-25,19,1,167,38,71,0.535,2,10,0.2,15,23,0.652,27,29,56,7,7,5,11,12,93
1628963,Marvin Bagley III,MEM,2024-25,12,1,99,17,35,0.486,1,9,0.111,8,12,0.667,11,17,28,4,2,3,1,6,43
1628963,Marvin Bagley III,TOT,2024-25,31,2,265,55,106,0.519,3,19,0.158,23,35,0.657,38,46,84,11,9,8,12,18,136
1628963,Marvin Bagley III,WAS,2025-26,38,8,731,154,246,0.626,8,19,0.421,69,97,0.711,97,119,216,56,20,27,44,78,385
1642846,Ace Bailey,UTA,2025-26,45,34,1158,210,469,0.448,68,197,0.345,31,44,0.705,68,98,166,72,37,23,54,115,519
1631116,Patrick Baldwin Jr.,WAS,2024-25,22,0,101,17,33,0.515,11,21,0.524,2,4,0.5,5,17,22,2,3,2,5,5,47
1631116,Patrick Baldwin Jr.,LAC,2024-25,2,0,6,2,2,1.0,2,2,1.0,0,0,0.0,0,3,3,1,0,0,0,2,6
1631116,Patrick Baldwin Jr.,TOT,2024-25,24,0,107,19,35,0.543,13,23,0.565,2,4,0.5,5,20,25,3,3,2,5,7,53
1631116,Patrick Baldwin Jr.,LAC,2025-26,2,0,12,3,4,0.75,2,3,0.667,2,2,1.0,0,1,1,0,0,0,1,2,10
1630163,LaMelo Ball,CHA,2024-25,47,47,1505,406,1003,0.405,179,528,0.339,193,229,0.843,47,185,232,346,54,13,167,157,1184
1630163,LaMelo Ball,CHA,2025-26,42,39,1153,283,699,0.405,142,389,0.365,96,109,0.881,36,171,207,313,47,10,130,106,804
1631094,Paolo Banchero,ORL,2024-25,46,46,1582,412,911,0.452,87,272,0.32,280,385,0.727,51,294,345,219,36,28,136,97,1191
1631094,Paolo Banchero,ORL,2025-26,40,40,1372,290,627,0.463,43,145,0.297,242,316,0.766,46,296,342,193,27,26,111,80,865
1630217,Desmond Bane,MEM,2024-25,69,68,2205,493,1018,0.484,164,418,0.392,177,198,0.894,62,356,418,369,80,28,169,164,1327
1630217,Desmond Bane,ORL,2025-26,50,50,1696,351,755,0.465,90,253,0.356,170,182,0.934,63,151,214,213,45,26,107,152,962
1631230,Dominick Barlow,ATL,2024-25,35,4,375,60,113,0.531,7,27,0.259,21,33,0.636,35,50,85,19,9,16,5,47,148
1631230,Dominick Barlow,PHI,2025-26,41,34,983,137,248,0.552,17,60,0.283,57,73,0.781,94,113,207,51,40,25,32,82,348
203084,Harrison Barnes,SAS,2024-25,82,82,2230,347,683,0.508,156,360,0.433,161,199,0.809,97,213,310,136,39,14,50,75,1011
203084,Harrison Barnes,SAS,2025-26,51,49,1436,184,419,0.439,96,258,0.372,78,91,0.857,40,112,152,107,33,10,50,66,542
1630567,Scottie Barnes,TOR,2024-25,65,65,2134,474,1063,0.446,76,280,0.271,228,302,0.755,109,393,502,378,93,63,184,113,1252
1630567,Scottie Barnes,TOR,2025-26,52,52,1793,389,773,0.503,49,160,0.306,174,214,0.813,112,321,433,292,65,79,142,147,1001
